Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
AMZN|20220121|860.00C,AMZN,860.00,+73.76%,"2,416.45","2,425.98","2,435.50","2,401.20",-51.00,-2.08%,1,910,0.00,67.32%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|880.00C,AMZN,880.00,+73.15%,"2,402.80","2,409.58","2,416.35","2,432.63",112.13,+4.83%,8,30,0.27,70.37%,Call,343,01/21/22,12/28/20,33.89%
AMZN|20220121|900.00C,AMZN,900.00,+72.54%,"2,383.00","2,389.78","2,396.55","2,495.98",37.98,+1.55%,1,35,0.03,69.41%,Call,343,01/21/22,02/03/21,33.89%
AMZN|20220121|920.00C,AMZN,920.00,+71.93%,"2,363.25","2,370.03","2,376.80","2,415.00",151.50,+6.69%,8,19,0.42,68.52%,Call,343,01/21/22,12/30/20,33.89%
AMZN|20220121|940.00C,AMZN,940.00,+71.32%,"2,343.50","2,350.25","2,357.00","2,235.50",7.50,+0.34%,3,6,0.50,67.62%,Call,343,01/21/22,01/07/21,33.89%
AMZN|20220121|960.00C,AMZN,960.00,+70.71%,"2,323.70","2,330.48","2,337.25","2,134.50",650.45,+43.83%,1,7,0.14,66.74%,Call,343,01/21/22,11/16/20,33.89%
AMZN|20220121|980.00C,AMZN,980.00,+70.10%,"2,304.00","2,310.78","2,317.55","2,339.06",-82.44,-3.40%,1,5,0.20,65.94%,Call,343,01/21/22,02/09/21,33.89%
AMZN|20220121|1000.00C,AMZN,"1,000.00",+69.49%,"2,284.20","2,290.98","2,297.75","2,221.14",-7.26,-0.33%,39,"1,756",0.02,65.06%,Call,343,01/21/22,01/29/21,33.89%
AMZN|20220121|1020.00C,AMZN,"1,020.00",+68.88%,"2,264.55","2,271.33","2,278.10","2,263.10",68.10,+3.10%,1,4,0.25,64.33%,Call,343,01/21/22,01/20/21,33.89%
AMZN|20220121|1040.00C,AMZN,"1,040.00",+68.27%,"2,244.85","2,251.63","2,258.40","1,349.00","1,349.00",unch,0,3,0.00,63.57%,Call,343,01/21/22,N/A,33.89%
AMZN|20220121|1060.00C,AMZN,"1,060.00",+67.66%,"2,225.15","2,231.93","2,238.70","2,114.00",696.00,+49.08%,1,3,0.33,62.82%,Call,343,01/21/22,10/23/20,33.89%
AMZN|20220121|1080.00C,AMZN,"1,080.00",+67.05%,"2,205.45","2,212.23","2,219.00","1,982.50","1,982.50",unch,1,1,1.00,62.08%,Call,343,01/21/22,11/10/20,33.89%
AMZN|20220121|1100.00C,AMZN,"1,100.00",+66.44%,"2,185.80","2,192.58","2,199.35","2,225.88",-156.87,-6.58%,2,15,0.13,61.38%,Call,343,01/21/22,02/03/21,33.89%
AMZN|20220121|1120.00C,AMZN,"1,120.00",+65.83%,"2,166.15","2,172.93","2,179.70","1,332.50","1,332.50",unch,0,5,0.00,60.69%,Call,343,01/21/22,N/A,33.89%
AMZN|20220121|1140.00C,AMZN,"1,140.00",+65.22%,"2,146.55","2,153.30","2,160.05","2,014.50",-70.50,-3.38%,1,5,0.20,60.03%,Call,343,01/21/22,01/14/21,33.89%
AMZN|20220121|1160.00C,AMZN,"1,160.00",+64.61%,"2,126.90","2,133.68","2,140.45","1,239.00","1,239.00",unch,0,6,0.00,59.37%,Call,343,01/21/22,N/A,33.89%
AMZN|20220121|1180.00C,AMZN,"1,180.00",+64.00%,"2,107.30","2,114.08","2,120.85",0.00,0.00,unch,0,3,0.00,58.74%,Call,343,01/21/22,N/A,33.89%
AMZN|20220121|1200.00C,AMZN,"1,200.00",+63.39%,"2,087.75","2,094.50","2,101.25","2,087.93",73.41,+3.64%,20,50,0.40,58.13%,Call,343,01/21/22,02/10/21,33.89%
AMZN|20220121|1220.00C,AMZN,"1,220.00",+62.78%,"2,068.15","2,074.93","2,081.70","2,068.93",97.93,+4.97%,20,36,0.56,57.52%,Call,343,01/21/22,02/10/21,33.89%
AMZN|20220121|1240.00C,AMZN,"1,240.00",+62.17%,"2,048.60","2,055.38","2,062.15","2,081.00",221.00,+11.88%,1,13,0.08,56.93%,Call,343,01/21/22,02/08/21,33.89%
AMZN|20220121|1260.00C,AMZN,"1,260.00",+61.56%,"2,029.05","2,035.82","2,042.60","2,027.97",141.00,+7.47%,1,14,0.07,56.35%,Call,343,01/21/22,02/10/21,33.89%
AMZN|20220121|1280.00C,AMZN,"1,280.00",+60.95%,"2,009.55","2,016.32","2,023.10","1,686.68",-356.94,-17.47%,1,10,0.10,55.79%,Call,343,01/21/22,09/18/20,33.89%
AMZN|20220121|1300.00C,AMZN,"1,300.00",+60.34%,"1,990.05","1,996.82","2,003.60","1,900.25",107.16,+5.98%,1,19,0.05,55.24%,Call,343,01/21/22,01/13/21,33.89%
AMZN|20220121|1320.00C,AMZN,"1,320.00",+59.73%,"1,970.55","1,977.32","1,984.10","1,850.62",-39.38,-2.08%,2,14,0.14,54.69%,Call,343,01/21/22,10/07/20,33.89%
AMZN|20220121|1340.00C,AMZN,"1,340.00",+59.12%,"1,951.10","1,957.85","1,964.60",988.50,988.50,unch,0,1,0.00,54.16%,Call,343,01/21/22,N/A,33.89%
